"","id","role","author"
"1","10.1371/journal.pone.0020946","Conceived and designed the experiments","OP"
"2","10.1371/journal.pone.0020946","Performed the experiments","OP"
"3","10.1371/journal.pone.0020946","Analyzed the data","OP"
"4","10.1371/journal.pone.0020946","Contributed reagents/materials/analysis tools","OP"
"5","10.1371/journal.pone.0020946","Contributed reagents/materials/analysis tools","OH-G"
"6","10.1371/journal.pone.0020946","Wrote the paper","OP"
"7","10.1371/journal.pone.0029670","Conceived and designed the experiments","XWL"
"8","10.1371/journal.pone.0029670","Conceived and designed the experiments","HC"
"9","10.1371/journal.pone.0029670","Conceived and designed the experiments","YQS"
"10","10.1371/journal.pone.0029670","Conceived and designed the experiments","YNW"
"11","10.1371/journal.pone.0029670","Performed the experiments","XWL"
"12","10.1371/journal.pone.0029670","Analyzed the data","XWL"
"13","10.1371/journal.pone.0029670","Analyzed the data","ZWL"
"14","10.1371/journal.pone.0029670","Analyzed the data","HH"
"15","10.1371/journal.pone.0029670","Contributed reagents/materials/analysis tools","HC"
"16","10.1371/journal.pone.0029670","Contributed reagents/materials/analysis tools","YQS"
"17","10.1371/journal.pone.0029670","Contributed reagents/materials/analysis tools","YNW"
"18","10.1371/journal.pone.0029670","Wrote the paper","XWL"
"19","10.1371/journal.pone.0055085","Conceived and designed the experiments","NR"
"20","10.1371/journal.pone.0055085","Conceived and designed the experiments","DR"
"21","10.1371/journal.pone.0055085","Conceived and designed the experiments","DL"
"22","10.1371/journal.pone.0055085","Performed the experiments","ST"
"23","10.1371/journal.pone.0055085","Performed the experiments","EG"
"24","10.1371/journal.pone.0055085","Performed the experiments","CC"
"25","10.1371/journal.pone.0055085","Performed the experiments","DR"
"26","10.1371/journal.pone.0055085","Analyzed the data","DL"
"27","10.1371/journal.pone.0055085","Analyzed the data","NR"
"28","10.1371/journal.pone.0055085","Contributed reagents/materials/analysis tools","DL"
"29","10.1371/journal.pone.0055085","Contributed reagents/materials/analysis tools","DR"
"30","10.1371/journal.pone.0055085","Wrote the paper","NR"
"31","10.1371/journal.pone.0066610","Conceived and designed the experiments","HJK"
"32","10.1371/journal.pone.0066610","Conceived and designed the experiments","MAV"
"33","10.1371/journal.pone.0066610","Conceived and designed the experiments","GJB"
"34","10.1371/journal.pone.0066610","Conceived and designed the experiments","KLV"
"35","10.1371/journal.pone.0066610","Performed the experiments","HJK"
"36","10.1371/journal.pone.0066610","Performed the experiments","MB"
"37","10.1371/journal.pone.0066610","Performed the experiments","JdB"
"38","10.1371/journal.pone.0066610","Performed the experiments","SJV"
"39","10.1371/journal.pone.0066610","Performed the experiments","SMH"
"40","10.1371/journal.pone.0066610","Analyzed the data","HJK"
"41","10.1371/journal.pone.0066610","Analyzed the data","MB"
"42","10.1371/journal.pone.0066610","Analyzed the data","SJV"
"43","10.1371/journal.pone.0066610","Analyzed the data","GJB"
"44","10.1371/journal.pone.0066610","Analyzed the data","KLV"
"45","10.1371/journal.pone.0066610","Contributed reagents/materials/analysis tools","HJK"
"46","10.1371/journal.pone.0066610","Contributed reagents/materials/analysis tools","MAV"
"47","10.1371/journal.pone.0066610","Contributed reagents/materials/analysis tools","GJB"
"48","10.1371/journal.pone.0066610","Contributed reagents/materials/analysis tools","KLV"
"49","10.1371/journal.pone.0066610","Wrote the paper","HJK"
"50","10.1371/journal.pone.0066610","Wrote the paper","MB"
"51","10.1371/journal.pone.0066610","Wrote the paper","JdB"
"52","10.1371/journal.pone.0066610","Wrote the paper","SMH"
"53","10.1371/journal.pone.0066610","Wrote the paper","GJB"
"54","10.1371/journal.pone.0066610","Wrote the paper","KLV"
"56","10.1371/journal.pone.0052369","Conceived and designed the experiments","SS"
"57","10.1371/journal.pone.0052369","Performed the experiments","JB"
"58","10.1371/journal.pone.0052369","Performed the experiments","SS"
"59","10.1371/journal.pone.0052369","Analyzed the data","JB"
"60","10.1371/journal.pone.0052369","Analyzed the data","SS"
"61","10.1371/journal.pone.0052369","Contributed reagents/materials/analysis tools","SS"
"62","10.1371/journal.pone.0052369","Wrote the paper","JB"
"63","10.1371/journal.pone.0052369","Wrote the paper","SS"
"64","10.1371/journal.pone.0006668","Conceived and designed the experiments","WJM"
"65","10.1371/journal.pone.0006668","Conceived and designed the experiments","EPS"
"66","10.1371/journal.pone.0006668","Performed the experiments","WJM"
"67","10.1371/journal.pone.0006668","Performed the experiments","EPS"
"68","10.1371/journal.pone.0006668","Analyzed the data","WJM"
"69","10.1371/journal.pone.0006668","Analyzed the data","EPS"
"70","10.1371/journal.pone.0006668","Contributed reagents/materials/analysis tools","WJM"
"71","10.1371/journal.pone.0006668","Contributed reagents/materials/analysis tools","EPS"
"72","10.1371/journal.pone.0006668","Wrote the paper","WJM"
"73","10.1371/journal.pone.0006668","Wrote the paper","EPS"
"74","10.1371/journal.pone.0018166","Conceived and designed the experiments","NAA"
"75","10.1371/journal.pone.0018166","Conceived and designed the experiments","MMS"
"76","10.1371/journal.pone.0018166","Conceived and designed the experiments","MCE"
"77","10.1371/journal.pone.0018166","Conceived and designed the experiments","BPR"
"78","10.1371/journal.pone.0018166","Performed the experiments","HCP"
"79","10.1371/journal.pone.0018166","Performed the experiments","TBA"
"80","10.1371/journal.pone.0018166","Performed the experiments","BPR"
"81","10.1371/journal.pone.0018166","Analyzed the data","NAA"
"82","10.1371/journal.pone.0018166","Analyzed the data","GSP"
"83","10.1371/journal.pone.0018166","Analyzed the data","MMS"
"84","10.1371/journal.pone.0018166","Analyzed the data","MCE"
"85","10.1371/journal.pone.0018166","Wrote the paper","BPR"
"86","10.1371/journal.pone.0018166","Wrote the paper","NAA"
"87","10.1371/journal.pone.0018166","Wrote the paper","TBA"
"88","10.1371/journal.pone.0018166","Wrote the paper","HCP"
"89","10.1371/journal.pone.0018166","Wrote the paper","GSP"
"90","10.1371/journal.pone.0018166","Wrote the paper","MCE"
"91","10.1371/journal.pone.0018166","Wrote the paper","MMS"
"92","10.1371/journal.pone.0052368","Conceived and designed the experiments","EJHC"
"93","10.1371/journal.pone.0052368","Conceived and designed the experiments","MHS"
"94","10.1371/journal.pone.0052368","Conceived and designed the experiments","YH"
"95","10.1371/journal.pone.0052368","Conceived and designed the experiments","JKB"
"96","10.1371/journal.pone.0052368","Performed the experiments","EJHC"
"97","10.1371/journal.pone.0052368","Performed the experiments","MHS"
"98","10.1371/journal.pone.0052368","Performed the experiments","EKW"
"99","10.1371/journal.pone.0052368","Analyzed the data","EJHC"
"100","10.1371/journal.pone.0052368","Analyzed the data","MHS"
"101","10.1371/journal.pone.0052368","Analyzed the data","JKB"
"102","10.1371/journal.pone.0052368","Wrote the paper","EJHC"
"103","10.1371/journal.pone.0052368","Wrote the paper","JKB"
"104","10.1371/journal.pone.0052384","Conceived and designed the experiments","QZ"
"105","10.1371/journal.pone.0052384","Conceived and designed the experiments","DGT"
"106","10.1371/journal.pone.0052384","Performed the experiments","LZ"
"107","10.1371/journal.pone.0052384","Performed the experiments","RX"
"108","10.1371/journal.pone.0052384","Analyzed the data","LZ"
"109","10.1371/journal.pone.0052384","Analyzed the data","RX"
"110","10.1371/journal.pone.0052384","Analyzed the data","JX"
"111","10.1371/journal.pone.0052384","Analyzed the data","JL"
"112","10.1371/journal.pone.0052384","Analyzed the data","AE"
"113","10.1371/journal.pone.0052384","Analyzed the data","YH"
"114","10.1371/journal.pone.0052384","Analyzed the data","QD"
"115","10.1371/journal.pone.0052384","Analyzed the data","HX"
"116","10.1371/journal.pone.0052384","Analyzed the data","SL"
"117","10.1371/journal.pone.0052384","Analyzed the data","JW"
"118","10.1371/journal.pone.0052384","Analyzed the data","DGT"
"119","10.1371/journal.pone.0052384","Analyzed the data","QZ"
"120","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","JX"
"121","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","AE"
"122","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","YH"
"123","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","QD"
"124","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","HX"
"125","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","SL"
"126","10.1371/journal.pone.0052384","Contributed reagents/materials/analysis tools","JW"
"127","10.1371/journal.pone.0052384","Wrote the paper","LZ"
"128","10.1371/journal.pone.0052384","Wrote the paper","RX"
"129","10.1371/journal.pone.0052384","Wrote the paper","DGT"
"130","10.1371/journal.pone.0052384","Wrote the paper","QZ"
"131","10.1371/journal.pone.0023946","Conceived and designed the experiments","MS"
"132","10.1371/journal.pone.0023946","Conceived and designed the experiments","CK"
"133","10.1371/journal.pone.0023946","Conceived and designed the experiments","KH"
"134","10.1371/journal.pone.0023946","Conceived and designed the experiments","OH"
"135","10.1371/journal.pone.0023946","Performed the experiments","MS"
"136","10.1371/journal.pone.0023946","Performed the experiments","CK"
"137","10.1371/journal.pone.0023946","Analyzed the data","MS"
"138","10.1371/journal.pone.0023946","Analyzed the data","BB"
"139","10.1371/journal.pone.0023946","Analyzed the data","CK"
"140","10.1371/journal.pone.0023946","Analyzed the data","KH"
"141","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","MS"
"142","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","FB"
"143","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","JB"
"144","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","GF"
"145","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","CF"
"146","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","H-AH"
"147","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","JvL"
"148","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","AP"
"149","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","SR"
"150","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","JR"
"151","10.1371/journal.pone.0023946","Contributed reagents/materials/analysis tools","H-JS"
"152","10.1371/journal.pone.0023946","Wrote the paper","MS"
"153","10.1371/journal.pone.0023946","Wrote the paper","BB"
"154","10.1371/journal.pone.0023946","Wrote the paper","CK"
"155","10.1371/journal.pone.0043710","Conceived and designed the experiments","DP"
"156","10.1371/journal.pone.0043710","Conceived and designed the experiments","OM"
"157","10.1371/journal.pone.0043710","Performed the experiments","OM"
"158","10.1371/journal.pone.0043710","Performed the experiments","CB"
"159","10.1371/journal.pone.0043710","Performed the experiments","OC"
"160","10.1371/journal.pone.0043710","Analyzed the data","OM"
"161","10.1371/journal.pone.0043710","Wrote the paper","DP"
"162","10.1371/journal.pone.0043710","Wrote the paper","VB"
"163","10.1371/journal.pone.0035295","Conceived and designed the experiments","IK"
"164","10.1371/journal.pone.0035295","Conceived and designed the experiments","CJN"
"165","10.1371/journal.pone.0035295","Conceived and designed the experiments","HT"
"166","10.1371/journal.pone.0035295","Conceived and designed the experiments","AP"
"167","10.1371/journal.pone.0035295","Conceived and designed the experiments","LD"
"168","10.1371/journal.pone.0035295","Performed the experiments","CJN"
"169","10.1371/journal.pone.0035295","Performed the experiments","MT"
"170","10.1371/journal.pone.0035295","Performed the experiments","HT"
"171","10.1371/journal.pone.0035295","Performed the experiments","IK"
"172","10.1371/journal.pone.0035295","Performed the experiments","AP"
"173","10.1371/journal.pone.0035295","Performed the experiments","LD"
"174","10.1371/journal.pone.0035295","Analyzed the data","MG"
"175","10.1371/journal.pone.0035295","Analyzed the data","IK"
"176","10.1371/journal.pone.0035295","Analyzed the data","CJN"
"177","10.1371/journal.pone.0035295","Analyzed the data","HT"
"178","10.1371/journal.pone.0035295","Analyzed the data","AP"
"179","10.1371/journal.pone.0035295","Analyzed the data","LD"
"180","10.1371/journal.pone.0035295","Contributed reagents/materials/analysis tools","EG"
"181","10.1371/journal.pone.0035295","Contributed reagents/materials/analysis tools","AL"
"182","10.1371/journal.pone.0035295","Contributed reagents/materials/analysis tools","HT"
"183","10.1371/journal.pone.0035295","Contributed reagents/materials/analysis tools","MD"
"184","10.1371/journal.pone.0035295","Contributed reagents/materials/analysis tools","IK"
"185","10.1371/journal.pone.0035295","Wrote the paper","IK"
"186","10.1371/journal.pone.0035295","Wrote the paper","HT"
"187","10.1371/journal.pone.0035295","Wrote the paper","AP"
"188","10.1371/journal.pone.0035295","Wrote the paper","LD"
"189","10.1371/journal.pone.0052378","Conceived and designed the experiments","WE"
"190","10.1371/journal.pone.0052378","Conceived and designed the experiments","WG"
"191","10.1371/journal.pone.0052378","Performed the experiments","NG"
"192","10.1371/journal.pone.0052378","Performed the experiments","AG"
"193","10.1371/journal.pone.0052378","Performed the experiments","AS"
"194","10.1371/journal.pone.0052378","Analyzed the data","NG"
"195","10.1371/journal.pone.0052378","Analyzed the data","AG"
"196","10.1371/journal.pone.0052378","Analyzed the data","WE"
"197","10.1371/journal.pone.0052378","Analyzed the data","WG"
"198","10.1371/journal.pone.0052378","Contributed reagents/materials/analysis tools","AS"
"199","10.1371/journal.pone.0052378","Wrote the paper","WG"
"200","10.1371/journal.pone.0052378","Wrote the paper","WE"
"201","10.1371/journal.pone.0009547","Conceived and designed the experiments","SKN"
"202","10.1371/journal.pone.0009547","Conceived and designed the experiments","WSL"
"203","10.1371/journal.pone.0009547","Conceived and designed the experiments","HX"
"204","10.1371/journal.pone.0009547","Performed the experiments","FWP"
"205","10.1371/journal.pone.0009547","Performed the experiments","CZ"
"206","10.1371/journal.pone.0009547","Performed the experiments","ZY"
"207","10.1371/journal.pone.0009547","Performed the experiments","JC"
"208","10.1371/journal.pone.0009547","Performed the experiments","KLT"
"209","10.1371/journal.pone.0009547","Performed the experiments","ZX"
"210","10.1371/journal.pone.0009547","Performed the experiments","SYT"
"211","10.1371/journal.pone.0009547","Analyzed the data","SKN"
"212","10.1371/journal.pone.0009547","Analyzed the data","WSL"
"213","10.1371/journal.pone.0009547","Analyzed the data","QY"
"214","10.1371/journal.pone.0009547","Analyzed the data","WY"
"215","10.1371/journal.pone.0009547","Contributed reagents/materials/analysis tools","VN"
"216","10.1371/journal.pone.0009547","Contributed reagents/materials/analysis tools","GS"
"217","10.1371/journal.pone.0009547","Contributed reagents/materials/analysis tools","MH"
"218","10.1371/journal.pone.0009547","Wrote the paper","SKN"
"219","10.1371/journal.pone.0009547","Wrote the paper","WSL"
"220","10.1371/journal.pone.0009547","Wrote the paper","HX"
"221","10.1371/journal.pone.0040992","Conceived and designed the experiments","EG"
"222","10.1371/journal.pone.0040992","Conceived and designed the experiments","CG"
"223","10.1371/journal.pone.0040992","Conceived and designed the experiments","ED"
"224","10.1371/journal.pone.0040992","Conceived and designed the experiments","EL"
"225","10.1371/journal.pone.0040992","Performed the experiments","EG"
"226","10.1371/journal.pone.0040992","Performed the experiments","CG"
"227","10.1371/journal.pone.0040992","Analyzed the data","EG"
"228","10.1371/journal.pone.0040992","Analyzed the data","ED"
"229","10.1371/journal.pone.0040992","Analyzed the data","EL"
"230","10.1371/journal.pone.0040992","Contributed reagents/materials/analysis tools","CG"
"231","10.1371/journal.pone.0040992","Wrote the paper","EL"
"232","10.1371/journal.pone.0040985","Conceived and designed the experiments","PG"
"233","10.1371/journal.pone.0040985","Conceived and designed the experiments","TG"
"234","10.1371/journal.pone.0040985","Conceived and designed the experiments","LD"
"235","10.1371/journal.pone.0040985","Conceived and designed the experiments","EC"
"236","10.1371/journal.pone.0040985","Conceived and designed the experiments","JV"
"237","10.1371/journal.pone.0040985","Conceived and designed the experiments","BG"
"238","10.1371/journal.pone.0040985","Performed the experiments","LD"
"239","10.1371/journal.pone.0040985","Performed the experiments","MR"
"240","10.1371/journal.pone.0040985","Performed the experiments","KC"
"241","10.1371/journal.pone.0040985","Performed the experiments","RL"
"242","10.1371/journal.pone.0040985","Performed the experiments","WVDB"
"243","10.1371/journal.pone.0040985","Analyzed the data","LD"
"244","10.1371/journal.pone.0040985","Analyzed the data","MR"
"245","10.1371/journal.pone.0040985","Analyzed the data","RL"
"246","10.1371/journal.pone.0040985","Analyzed the data","KC"
"247","10.1371/journal.pone.0040985","Analyzed the data","WVDB"
"248","10.1371/journal.pone.0040985","Wrote the paper","LD"
"249","10.1371/journal.pone.0040985","Wrote the paper","PG"
"250","10.1371/journal.pone.0040985","Wrote the paper","EC"
"251","10.1371/journal.pone.0040985","Wrote the paper","JV"
"252","10.1371/journal.pone.0040985","Wrote the paper","BG"
