doi,name,conceived,performed,analyzed,contributed,wrote,countries,affiliations,text
10.7717/peerj.1,"Yoonjoo Choi",1,1,1,1,1,USA,"Department of Computer Science, Dartmouth College, Hanover, NH, USA","Yoonjoo Choi conceived and designed the experiments, performed the experiments, analyzed the data, contributed reagents/materials/analysis tools, wrote the paper."
10.7717/peerj.1,"Sumeet Agarwal",0,1,1,1,0,"United Kingdom; India","Department of Systems Biology Doctoral Training Centre, University of Oxford, Oxford, United Kingdom; Department of Physics, University of Oxford, Oxford, United Kingdom; Department of Electrical Engineering, Indian Institute of Technology Delhi, Delhi, India","Sumeet Agarwal performed the experiments, analyzed the data, contributed reagents/materials/analysis tools."
10.7717/peerj.1,"Charlotte M. Deane",1,0,0,0,1,"United Kingdom","Department of Statistics, University of Oxford, United Kingdom","Charlotte M. Deane conceived and designed the experiments, wrote the paper."
10.7717/peerj.10,"Frank Emmert-Streib",1,1,1,1,1,UK,"Computational Biology and Machine Learning Laboratory, Center for Cancer Research and Cell Biology, School of Medicine, Dentistry and Biomedical Sciences, Faculty of Medicine, Health and Life Sciences, Queen’s University Belfast, Belfast, UK","Frank Emmert-Streib conceived and designed the experiments, performed the experiments, analyzed the data, contributed reagents/materials/analysis tools, wrote the paper."
10.7717/peerj.11,"Nigel R. Andrew",1,1,1,0,1,Australia,"Centre for Behavioural and Physiological Ecology, Zoology, University of New England, Armidale, Australia; School of Environmental and Rural Sciences, University of New England, Armidale, Australia","Nigel R. Andrew conceived and designed the experiments, performed the experiments, analyzed the data, wrote the paper."
10.7717/peerj.11,"Sarah J. Hill",0,1,0,0,1,Australia,"School of Environmental and Rural Sciences, University of New England, Armidale, Australia","Sarah J. Hill performed the experiments, wrote the paper."
10.7717/peerj.11,"Matthew Binns",0,1,1,0,0,Australia,"Centre for Behavioural and Physiological Ecology, Zoology, University of New England, Armidale, Australia; School of Environmental and Rural Sciences, University of New England, Armidale, Australia","Matthew Binns performed the experiments and analyzed the data."
10.7717/peerj.11,"Md Habibullah Bahar",0,1,0,0,0,"Australia; Canada","Centre for Behavioural and Physiological Ecology, Zoology, University of New England, Armidale, Australia; Saskatoon Research Centre, Agriculture and Agri-Food Canada, Saskatoon, Canada","Md Habibullah Bahar, Emma V. Ridley, Myung-Pyo Jung, Chris Fyfe, Michelle Yates and Mohammad Khusro performed the experiments."
10.7717/peerj.11,"Emma V. Ridley",0,1,0,0,0,UK,"Department of Biology, University of York, York, UK","Md Habibullah Bahar, Emma V. Ridley, Myung-Pyo Jung, Chris Fyfe, Michelle Yates and Mohammad Khusro performed the experiments."
10.7717/peerj.11,"Myung-Pyo Jung",0,1,0,0,0,"Australia; South Korea","Centre for Behavioural and Physiological Ecology, Zoology, University of New England, Armidale, Australia; Department of Agricultural Biology, National Academy of Agricultural Science, Suwon, South Korea","Md Habibullah Bahar, Emma V. Ridley, Myung-Pyo Jung, Chris Fyfe, Michelle Yates and Mohammad Khusro performed the experiments."
10.7717/peerj.11,"Chris Fyfe",0,1,0,0,0,Australia,"School of Environmental and Rural Sciences, University of New England, Armidale, Australia","Md Habibullah Bahar, Emma V. Ridley, Myung-Pyo Jung, Chris Fyfe, Michelle Yates and Mohammad Khusro performed the experiments."
