DOI,Author Position,Author Name,Initials,Conceived and designed the experiments,Performed the experiments,Analyzed the data,Contributed reagents/materials/analysis tools,Wrote the paper
10.1371/journal.pone.0020946,1,Olga Pantos,OP,1,1,1,1,1
10.1371/journal.pone.0020946,2,Ove Hoegh-Guldberg,OH-G,0,0,0,1,0
10.1371/journal.pone.0029670,,,XWL,1,1,1,0,1
10.1371/journal.pone.0029670,2,Hong Cai,HC,1,0,0,1,0
10.1371/journal.pone.0029670,,,YQS,1,0,0,1,0
10.1371/journal.pone.0029670,,,YNW,1,0,0,1,0
10.1371/journal.pone.0029670,,,ZWL,0,0,1,0,0
10.1371/journal.pone.0029670,3,Hua Huang,HH,0,0,1,0,0
10.1371/journal.pone.0055085,6,Nalini Ramarao,NR,1,0,1,0,1
10.1371/journal.pone.0055085,4,Didier Rognan,DR,1,1,0,1,0
10.1371/journal.pone.0055085,5,Didier Lereclus,DL,1,0,1,1,0
10.1371/journal.pone.0055085,,,ST,0,1,0,0,0
10.1371/journal.pone.0055085,1,Elisabeth Guillemet,EG,0,1,0,0,0
10.1371/journal.pone.0055085,3,Céline Cadot,CC,0,1,0,0,0
10.1371/journal.pone.0066610,1,Hugo J Kuijf,HJK,1,1,1,1,1
10.1371/journal.pone.0066610,6,Max A Viergever,MAV,1,0,0,1,0
10.1371/journal.pone.0066610,7,Geert Jan Biessels,GJB,1,0,1,1,1
10.1371/journal.pone.0066610,8,Koen L Vincken,KLV,1,0,1,1,1
10.1371/journal.pone.0066610,2,Manon Brundel,MB,0,1,1,0,1
10.1371/journal.pone.0066610,,,JdB,0,1,0,0,1
10.1371/journal.pone.0066610,4,Susanne J van Veluw,SJV,0,1,1,0,0
10.1371/journal.pone.0066610,5,Sophie M Heringa,SMH,0,1,0,0,1
10.1371/journal.pone.0052369,,,SS,1,1,1,1,1
10.1371/journal.pone.0052369,,,JB,0,1,1,0,1
10.1371/journal.pone.0006668,1,William Jeffrey Mason,WJM,1,1,1,1,1
10.1371/journal.pone.0006668,2,Eric Patrick Skaar,EPS,1,1,1,1,1
10.1371/journal.pone.0018166,7,Naeem A Ali,NAA,1,0,1,0,1
10.1371/journal.pone.0018166,5,Madhuri M Sopirala,MMS,1,0,1,0,1
10.1371/journal.pone.0018166,4,Matthew C Exline,MCE,1,0,1,0,1
10.1371/journal.pone.0018166,1,Brent P Riscili,BPR,1,1,0,0,1
10.1371/journal.pone.0018166,3,Hallie C Prescott,HCP,0,1,0,0,1
10.1371/journal.pone.0018166,2,Tyler B Anderson,TBA,0,1,0,0,1
10.1371/journal.pone.0018166,6,Gary S Phillips,GSP,0,0,1,0,1
10.1371/journal.pone.0052368,1,Emily J H Chen,EJHC,1,1,1,0,1
10.1371/journal.pone.0052368,2,Meredith H Shaffer,MHS,1,1,1,0,0
10.1371/journal.pone.0052368,4,Yanping Huang,YH,1,0,0,0,0
10.1371/journal.pone.0052368,5,Janis K Burkhardt,JKB,1,0,1,0,1
10.1371/journal.pone.0052368,3,Edward K Williamson,EKW,0,1,0,0,0
